search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,engineering_skills,writing_skills,technical_programming_skills,language_translation_skills,finance_accounting_skills,management_skills,marketing_business_skills,performance_arts_skills,design_skills,teaching_training_skills,miscellaneous_skills,language_certifications,freelancer_certifications,general_skill_certifications,programming_certifications,top_skill_category,top_skill_category_encoded,top_skill_category_count
2,Kamal,0,2395,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,6,0,7,0,0,0,1,0,1,0,3,0,0,0,0,technical_programming_skills,4,7
2,Sally,1,7108,5,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,2,0,1,0,0,0,0,0,0,technical_programming_skills,4,17
2,Samu,0,5988,2,22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,2,0,1,0,0,0,0,0,0,technical_programming_skills,4,14
2,Milad,0,6682,5,24,1.2,5.0,2,0,100.0,75.0,75.0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,0,0,0,3,0,1,0,0,0,0,technical_programming_skills,4,16
2,Melvin,0,7541,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,technical_programming_skills,4,11
2,Prash,0,6637,0,90,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,technical_programming_skills,4,12
2,Christopher,0,2534,0,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,3,0,5,0,0,0,0,0,0,technical_programming_skills,4,11
2,Luis,0,1510,2,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,5,5,0,0,1,0,4,0,1,1,0,1,0,technical_programming_skills,4,5
2,Joanner,0,5281,2,7,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,technical_programming_skills,4,4
2,Programmatis,1,6138,1,500,9.2,5.0,55,468,100.0,100.0,100.0,1,1,1,1,0,1,1,1,1,0,0,24,1,0,0,5,0,2,0,0,2,1,0,0,technical_programming_skills,4,24
2,William,0,7569,0,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,1
2,Marcos,0,4817,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,6,7,1,0,0,3,0,1,0,1,0,0,0,0,technical_programming_skills,4,7
2,Lifeng,0,5744,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,6
2,Justin,0,4624,4,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,9,0,0,0,3,0,8,0,0,0,0,0,0,technical_programming_skills,4,9
2,Adam,0,4432,1,35,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,technical_programming_skills,4,6
2,Bao,0,6012,4,2,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,15
2,Arash,0,7341,5,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,technical_programming_skills,4,17
2,Donovannrad,1,5547,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,4,7,0,0,0,4,0,1,0,2,3,0,0,0,technical_programming_skills,4,7
2,Mohamed,0,4738,2,120,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,1
2,Risto,0,4410,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,1
2,Arash,0,6716,3,12,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,2
2,Daniel,0,6765,4,60,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,16,0,0,1,1,0,1,0,0,0,1,0,0,technical_programming_skills,4,16
2,Steven,0,5037,0,80,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,technical_programming_skills,4,4
2,Daniel,0,7546,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,1,0,0,0,0,technical_programming_skills,4,15
2,Shivam,0,7531,0,25,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0,0,0,13,0,0,0,1,0,3,0,1,0,1,0,0,technical_programming_skills,4,13
2,Rudy,0,5976,0,31,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,3
2,Taylor,0,6524,3,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,17
2,Max,0,7121,3,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,2,7,0,0,0,5,0,5,0,1,0,0,1,0,technical_programming_skills,4,7
2,Hardik,0,6867,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,technical_programming_skills,4,11
2,Jorge,0,6895,5,15,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,3,0,0,0,0,0,0,technical_programming_skills,4,6
2,Trent,0,4386,1,65,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,technical_programming_skills,4,15
2,Emad,0,7580,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,technical_programming_skills,4,4
2,Abdul,0,6345,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,technical_programming_skills,4,10
2,Emily,1,7356,0,15,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,5,6,1,0,0,4,0,4,0,0,0,0,0,0,technical_programming_skills,4,6
2,Carlos,0,5492,1,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,technical_programming_skills,4,10
2,Mahmudul,1,5304,0,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,1,0,4,0,0,0,0,0,0,technical_programming_skills,4,12
2,Jonathan,0,6299,1,75,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,1,0,0,6,0,0,0,0,0,0,technical_programming_skills,4,11
2,Fatemeh,1,7488,5,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,technical_programming_skills,4,4
2,Kyle,1,7090,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,10
2,Tim,0,4969,0,7,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,technical_programming_skills,4,11
2,Paulexander,0,7573,4,17,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,12
2,Annabelle,1,7356,5,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,8,0,0,0,0,0,0,technical_programming_skills,4,11
2,Parth,0,6617,2,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,4
2,Kim,1,2826,0,25,5.8,5.0,3,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,1,1,11,0,0,1,2,0,3,0,0,1,1,0,0,technical_programming_skills,4,11
2,Vann,0,7562,1,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,9
2,Tracy,1,6631,2,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,3,5,1,1,0,3,0,5,0,2,0,0,0,0,technical_programming_skills,4,5
2,Faith,1,7381,0,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,2,0,0,0,2,0,0,0,0,technical_programming_skills,4,6
2,Nick,0,6775,5,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,2
2,Dang,0,4549,2,30,3.4,5.0,4,0,100.0,100.0,100.0,0,1,1,1,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,10
2,Kevin,0,5885,0,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,technical_programming_skills,4,11
2,Raymond,0,4380,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,5,6,0,0,0,0,1,2,0,0,0,0,0,0,technical_programming_skills,4,6
2,Syedaja,1,6953,1,12,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,2,0,4,0,0,0,0,0,0,technical_programming_skills,4,13
2,Miles,0,5537,4,15,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,9,0,3,0,3,0,2,0,2,0,0,0,0,technical_programming_skills,4,9
2,Farhad,0,7551,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,8
2,Michael,0,7387,1,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,19
2,Gabriel,0,7394,0,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,technical_programming_skills,4,3
2,Blake,0,6008,1,100,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,15
2,Arron,0,7177,0,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,3
2,Elizabeth,1,4318,1,70,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,9,2,0,0,1,0,7,0,0,1,0,1,0,technical_programming_skills,4,9
2,Steven,0,5594,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,5,8,0,0,0,1,0,1,0,1,0,0,0,0,technical_programming_skills,4,8
2,Susan,1,4196,2,75,3.4,5.0,1,0,100.0,100.0,100.0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,0,3,0,13,0,2,1,0,0,0,technical_programming_skills,4,4
2,Olurotimi,0,2764,5,35,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,technical_programming_skills,4,8
2,Ram,0,6529,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,5
2,Paul,0,3638,1,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,technical_programming_skills,4,3
2,Benyamin,0,6903,1,60,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,7
2,Sheba,1,6236,1,15,3.6,5.0,10,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,0,9,0,2,0,1,0,0,0,0,technical_programming_skills,4,5
2,David,0,7358,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,15,0,0,0,1,0,4,0,0,0,0,0,0,technical_programming_skills,4,15
2,David,0,4268,5,20,1.6,5.0,1,1,100.0,100.0,100.0,0,1,0,1,0,1,0,0,0,0,0,11,0,0,0,7,0,1,0,0,1,1,0,0,technical_programming_skills,4,11
2,Joseph,0,4931,3,20,3.5,5.0,1,0,100.0,100.0,100.0,0,0,1,1,0,0,1,0,0,0,0,12,0,0,0,1,0,3,0,0,0,0,0,0,technical_programming_skills,4,12
