search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,num_certifications,num_skills
2,Milen,1,7063,1,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,15
2,Jeremy,1,7526,1,90,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0,1,18
2,Nichole,0,6430,0,25,4.0,5.0,2,0,100.0,100.0,100.0,0,0,0,1,0,0,0,0,0,1,20
2,Robert,1,3238,1,75,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,14
2,Jean-Paul,1,6661,5,19,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,6
2,Brianna,0,6272,1,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,3
2,Ahmed,1,7185,0,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,6
2,Tricia,0,7479,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,5
2,Katrin,0,6647,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,20
2,Cindy,0,7432,1,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,20
2,Khadija,0,7527,4,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2
2,Travis,1,5500,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,9
2,Gabriela,0,6082,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,19
2,Jesus,1,7557,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,6
2,Jose,1,7069,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,4
2,Carson,1,4417,3,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,20
2,Cameron,1,4952,1,25,0.8,5.0,1,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,1,20
2,Dnard,1,7264,1,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,11
2,Eliran,1,5229,1,150,4.0,5.0,10,1,100.0,100.0,100.0,0,1,0,1,0,0,0,0,0,1,20
2,Adam,1,4245,1,180,1.6,5.0,2,0,100.0,100.0,100.0,0,0,0,1,0,0,0,0,0,3,20
2,Eward,1,2950,0,25,1.0,5.0,1,1,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,0,20
2,Matthew,1,7251,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,20
2,Kelly,0,6106,2,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,13
2,Kaitlyn,0,7566,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,14
2,Megan,0,7522,5,28,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5
2,Orsolya,0,5870,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,20
2,Cursed,0,7406,5,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,2
2,Michelle,0,7236,1,22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,20
2,Michael,1,2672,2,65,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,20
2,Ilayda,0,6864,4,20,1.9,5.0,1,1,100.0,100.0,100.0,0,0,1,0,0,0,0,0,0,0,20
2,Dyllen,1,4454,2,16,3.1,5.0,1,1,100.0,100.0,100.0,0,0,0,1,0,1,0,0,0,2,11
2,Sachin,1,3970,4,12,3.3,5.0,4,0,80.0,100.0,40.0,0,0,1,0,0,0,0,0,0,1,20
2,Kam,1,7458,4,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2
2,Thayer,0,7557,2,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,18
2,Brendan,1,7433,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,20
2,Jacqueline,0,4508,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,18
2,Jonathan,1,4498,2,20,4.2,5.0,1,1,100.0,100.0,100.0,0,0,1,1,0,1,0,0,0,1,13
2,Denaris,1,7565,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,20
2,Brandt,1,7457,0,17,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,20
2,Yuanyuan,0,7574,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,20
2,Tavon,1,7341,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,18
2,Tobios,1,7569,3,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,19
2,Shari,0,6265,2,18,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,20
2,Prince,1,6733,0,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,3
2,Barbara,0,6668,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,20
2,Kaley,0,7557,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,7
2,Deanna,0,7428,1,75,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,10
